Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
3,1,22.0,1,0,7.25,2,0
1,0,38.0,1,0,71.2833,0,1
3,0,26.0,0,0,7.925,2,1
1,0,35.0,1,0,53.1,2,1
3,1,35.0,0,0,8.05,2,0
3,1,28.0,0,0,8.4583,1,0
1,1,54.0,0,0,51.8625,2,0
3,1,2.0,3,1,21.075,2,0
3,0,27.0,0,2,11.1333,2,1
2,0,14.0,1,0,30.0708,0,1
3,0,4.0,1,1,16.7,2,1
1,0,58.0,0,0,26.55,2,1
3,1,20.0,0,0,8.05,2,0
3,1,39.0,1,5,31.275,2,0
3,0,14.0,0,0,7.8542,2,0
2,0,55.0,0,0,16.0,2,1
3,1,2.0,4,1,29.125,1,0
2,1,28.0,0,0,13.0,2,1
3,0,31.0,1,0,18.0,2,0
3,0,28.0,0,0,7.225,0,1
2,1,35.0,0,0,26.0,2,0
2,1,34.0,0,0,13.0,2,1
3,0,15.0,0,0,8.0292,1,1
1,1,28.0,0,0,35.5,2,1
3,0,8.0,3,1,21.075,2,0
3,0,38.0,1,5,31.3875,2,1
3,1,28.0,0,0,7.225,0,0
1,1,19.0,3,2,263.0,2,0
3,0,28.0,0,0,7.8792,1,1
3,1,28.0,0,0,7.8958,2,0
1,1,40.0,0,0,27.7208,0,0
1,0,28.0,1,0,146.5208,0,1
3,0,28.0,0,0,7.75,1,1
2,1,66.0,0,0,10.5,2,0
1,1,28.0,1,0,82.1708,0,0
1,1,42.0,1,0,52.0,2,0
3,1,28.0,0,0,7.2292,0,1
3,1,21.0,0,0,8.05,2,0
3,0,18.0,2,0,18.0,2,0
3,0,14.0,1,0,11.2417,0,1
3,0,40.0,1,0,9.475,2,0
2,0,27.0,1,0,21.0,2,0
3,1,28.0,0,0,7.8958,0,0
2,0,3.0,1,2,41.5792,0,1
3,0,19.0,0,0,7.8792,1,1
3,1,28.0,0,0,8.05,2,0
3,1,28.0,1,0,15.5,1,0
3,0,28.0,0,0,7.75,1,1
3,1,28.0,2,0,21.6792,0,0
3,0,18.0,1,0,17.8,2,0
3,1,7.0,4,1,39.6875,2,0
3,1,21.0,0,0,7.8,2,0
1,0,49.0,1,0,76.7292,0,1
2,0,29.0,1,0,26.0,2,1
1,1,65.0,0,1,61.9792,0,0
1,1,28.0,0,0,35.5,2,1
2,0,21.0,0,0,10.5,2,1
3,1,28.5,0,0,7.2292,0,0
2,0,5.0,1,2,27.75,2,1
3,1,11.0,5,2,46.9,2,0
3,1,22.0,0,0,7.2292,0,0
1,0,38.0,0,0,80.0,2,1
1,1,45.0,1,0,83.475,2,0
3,1,4.0,3,2,27.9,2,0
1,1,28.0,0,0,27.7208,0,0
3,1,28.0,1,1,15.2458,0,1
2,0,29.0,0,0,10.5,2,1
3,1,19.0,0,0,8.1583,2,0
3,0,17.0,4,2,7.925,2,1
3,1,26.0,2,0,8.6625,2,0
2,1,32.0,0,0,10.5,2,0
3,0,16.0,5,2,46.9,2,0
2,1,21.0,0,0,73.5,2,0
3,1,26.0,1,0,14.4542,0,0
3,1,32.0,0,0,56.4958,2,1
3,1,25.0,0,0,7.65,2,0
3,1,28.0,0,0,7.8958,2,0
3,1,28.0,0,0,8.05,2,0
2,1,0.83,0,2,29.0,2,1
3,0,30.0,0,0,12.475,2,1
3,1,22.0,0,0,9.0,2,0
3,1,29.0,0,0,9.5,2,1
3,0,28.0,0,0,7.7875,1,1
1,1,28.0,0,0,47.1,2,0
2,0,17.0,0,0,10.5,2,1
3,0,33.0,3,0,15.85,2,1
3,1,16.0,1,3,34.375,2,0
3,1,28.0,0,0,8.05,2,0
1,0,23.0,3,2,263.0,2,1
3,1,24.0,0,0,8.05,2,0
3,1,29.0,0,0,8.05,2,0
3,1,20.0,0,0,7.8542,2,0
1,1,46.0,1,0,61.175,2,0
3,1,26.0,1,2,20.575,2,0
3,1,59.0,0,0,7.25,2,0
3,1,28.0,0,0,8.05,2,0
1,1,71.0,0,0,34.6542,0,0
1,1,23.0,0,1,63.3583,0,1
2,0,34.0,0,1,23.0,2,1
2,1,34.0,1,0,26.0,2,0
3,0,28.0,0,0,7.8958,2,0
3,1,28.0,0,0,7.8958,2,0
1,1,21.0,0,1,77.2875,2,0
3,1,33.0,0,0,8.6542,2,0
3,1,37.0,2,0,7.925,2,0
3,1,28.0,0,0,7.8958,2,0
3,0,21.0,0,0,7.65,2,1
3,1,28.0,0,0,7.775,2,1
3,1,38.0,0,0,7.8958,2,0
3,0,28.0,1,0,24.15,1,1
1,1,47.0,0,0,52.0,2,0
3,0,14.5,1,0,14.4542,0,0
3,1,22.0,0,0,8.05,2,0
3,0,20.0,1,0,9.825,2,0
3,0,17.0,0,0,14.4583,0,0
3,1,21.0,0,0,7.925,2,0
3,1,70.5,0,0,7.75,1,0
2,1,29.0,1,0,21.0,2,0
1,1,24.0,0,1,247.5208,0,0
3,0,2.0,4,2,31.275,2,0
2,1,21.0,2,0,73.5,2,0
3,1,28.0,0,0,8.05,2,0
2,1,32.5,1,0,30.0708,0,0
2,0,32.5,0,0,13.0,2,1
1,1,54.0,0,1,77.2875,2,0
3,1,12.0,1,0,11.2417,0,1
3,1,28.0,0,0,7.75,1,0
3,1,24.0,0,0,7.1417,2,1
3,0,28.0,1,1,22.3583,0,1
3,1,45.0,0,0,6.975,2,0
3,1,33.0,0,0,7.8958,0,0
3,1,20.0,0,0,7.05,2,0
3,0,47.0,1,0,14.5,2,0
2,0,29.0,1,0,26.0,2,1
2,1,25.0,0,0,13.0,2,0
2,1,23.0,0,0,15.0458,0,0
1,0,19.0,0,2,26.2833,2,1
1,1,37.0,1,0,53.1,2,0
3,1,16.0,0,0,9.2167,2,0
1,1,24.0,0,0,79.2,0,0
3,0,28.0,0,2,15.2458,0,0
3,0,22.0,0,0,7.75,2,1
3,0,24.0,1,0,15.85,2,1
3,1,19.0,0,0,6.75,1,0
2,1,18.0,0,0,11.5,2,0
2,1,19.0,1,1,36.75,2,0
3,1,27.0,0,0,7.7958,2,1
3,0,9.0,2,2,34.375,2,0
2,1,36.5,0,2,26.0,2,0
2,1,42.0,0,0,13.0,2,0
2,1,51.0,0,0,12.525,2,0
1,0,22.0,1,0,66.6,2,1
3,1,55.5,0,0,8.05,2,0
3,1,40.5,0,2,14.5,2,0
3,1,28.0,0,0,7.3125,2,0
1,1,51.0,0,1,61.3792,0,0
3,0,16.0,0,0,7.7333,1,1
3,1,30.0,0,0,8.05,2,0
3,1,28.0,0,0,8.6625,2,0
3,1,28.0,8,2,69.55,2,0
3,1,44.0,0,1,16.1,2,0
2,0,40.0,0,0,15.75,2,1
3,1,26.0,0,0,7.775,2,0
3,1,17.0,0,0,8.6625,2,0
3,1,1.0,4,1,39.6875,2,0
3,1,9.0,0,2,20.525,2,1
1,0,28.0,0,1,55.0,2,1
3,0,45.0,1,4,27.9,2,0
1,1,28.0,0,0,25.925,2,0
3,1,28.0,0,0,56.4958,2,0
1,1,61.0,0,0,33.5,2,0
3,1,4.0,4,1,29.125,1,0
3,0,1.0,1,1,11.1333,2,1
3,1,21.0,0,0,7.925,2,0
1,1,56.0,0,0,30.6958,0,0
3,1,18.0,1,1,7.8542,2,0
3,1,28.0,3,1,25.4667,2,0
1,0,50.0,0,0,28.7125,0,0
2,1,30.0,0,0,13.0,2,0
3,1,36.0,0,0,0.0,2,0
3,0,28.0,8,2,69.55,2,0
2,1,28.0,0,0,15.05,0,0
3,1,9.0,4,2,31.3875,2,0
2,1,1.0,2,1,39.0,2,1
3,0,4.0,0,2,22.025,2,1
1,1,28.0,0,0,50.0,2,0
3,0,28.0,1,0,15.5,1,1
1,1,45.0,0,0,26.55,2,1
3,1,40.0,1,1,15.5,1,0
3,1,36.0,0,0,7.8958,2,0
2,0,32.0,0,0,13.0,2,1
2,1,19.0,0,0,13.0,2,0
3,0,19.0,1,0,7.8542,2,1
2,1,3.0,1,1,26.0,2,1
1,0,44.0,0,0,27.7208,0,1
1,0,58.0,0,0,146.5208,0,1
3,1,28.0,0,0,7.75,1,0
3,1,42.0,0,1,8.4042,2,0
3,0,28.0,0,0,7.75,1,1
2,0,24.0,0,0,13.0,2,0
3,1,28.0,0,0,9.5,2,0
3,1,28.0,8,2,69.55,2,0
3,1,34.0,0,0,6.4958,2,0
3,1,45.5,0,0,7.225,0,0
3,1,18.0,0,0,8.05,2,1
3,0,2.0,0,1,10.4625,2,0
